"","COMUNA","n_1","n_2","n_3","vote_1","vote_2","vote_3","participacion_1","participacion_2","participacion_3","n","vote","participacion","year","cod_comuna","X24.Oct","group_etapa_plebiscito","yautcorh","decil1","decil2","decil3","decil4","decil5","decil6","decil7","decil8","decil9","decil10","hacinamiento_2"
"11","Antofagasta",94220,117704,27617,14500,49017,12477,0.153895139036298,0.416442941616258,0.451786942825072,239541,75994,0.317248404239775,2012,2101,2,1,1229257.38447919,0.076683745,0.070076324,0.09738905,0.10104262,0.081383042,0.13106389,0.12291243,0.11019334,0.11750049,0.091755055,0.090283908
"12","Antuco",1281,2240,842,678,1402,537,0.529274004683841,0.625892857142857,0.637767220902613,4363,2617,0.599816639926656,2012,8302,3,0,553555.237085697,0.43303302,0.1936937,0.1024024,0.054954953,0.020420421,0.030630631,0.037837837,0.036036037,0.024024025,0.066966966,0.063448697
"13","Arauco",10286,14249,3876,3539,9799,2306,0.344059887225355,0.68769738227244,0.594943240454076,28411,15644,0.550631797543205,2012,8202,3,0,868062.484342608,0.16654664,0.099945448,0.20150574,0.081505731,0.11227496,0.055602837,0.071773052,0.10437534,0.069219857,0.037250411,0.031882159
"14","Arica",54520,79482,21652,9841,32329,10799,0.180502567865004,0.406746181525377,0.498753002032145,155654,52969,0.340299638942783,2012,15101,1,1,781159.83939392,0.091987677,0.1417034,0.16222592,0.11646292,0.11228885,0.11261771,0.082482181,0.068296663,0.073621765,0.038312916,0.11074328
"15","Buin",22373,29534,7171,6206,18663,4365,0.277387922942833,0.631915758109298,0.608701715241947,59078,29234,0.494837333694438,2012,13402,2,1,875650.123292797,0.095108911,0.14157423,0.15086195,0.088306829,0.12782307,0.13666978,0.076039024,0.11389817,0.040197782,0.029520245,0.083295472
"16","Bulnes",6035,10200,3089,2373,7020,1958,0.393206296603148,0.688235294117647,0.63386209129168,19324,11351,0.58740426412751,2012,16102,3,0,604988.360930711,0.12474886,0.22721113,0.10774191,0.093585014,0.17992805,0.11372238,0.051955335,0.028827734,0.061112929,0.011166659,0.059337474
"17","Cabildo",6356,8515,2308,2122,5963,1573,0.333857772183763,0.700293599530241,0.681542461005199,17179,9658,0.562198032481518,2012,5402,3,0,756151.651938599,0.18620819,0.096300095,0.084122613,0.083096161,0.16231979,0.11053049,0.090328,0.14878926,0.025428079,0.012877339,0.095646903
"18","Cabo De Hornos",625,1092,61,283,472,40,0.4528,0.432234432234432,0.655737704918033,1778,795,0.447131608548931,2012,12201,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Cabrero",7604,11734,3190,3362,8477,2174,0.442135718043135,0.722430543719107,0.681504702194357,22528,14013,0.622025923295455,2012,8303,2,1,588275.502983257,0.13232876,0.18030441,0.14742771,0.1777169,0.11278539,0.076499239,0.058873668,0.072328769,0.032694064,0.0090410961,0.054600731
"20","Calama",44470,60685,10964,7827,28838,5586,0.176006296379582,0.475208041525913,0.509485589201021,116119,42251,0.36385948897252,2012,2201,3,0,1124277.82836579,0.059973888,0.047763348,0.076485947,0.1162372,0.09633065,0.087122932,0.11491101,0.13457707,0.1471037,0.11949426,0.074418865
