cod_comuna,yautcorh,decil1,decil2,decil3,decil4,decil5,decil6,decil7,decil8,decil9,decil10,hacinamiento_2
11402,629041.9107142857,.23325893,.15736607,.088727675,.03515625,.099330358,.1389509,.075892858,.10435268,.026785715,.040178571,.066964284
12101,1269145.039745263,.049693368,.060801104,.062976673,.082991943,.11073256,.11523968,.12532942,.13068214,.14279146,.11876165,.069326371
12301,1203903.331612637,.022300227,.026223416,.0070204418,.094156511,.11150113,.10158993,.24323766,.14206071,.1170762,.13483378,.011356597
12401,993394.3555144194,.086467266,.11262666,.070732661,.062792286,.11774162,.13508379,.097525328,.12183359,.13211223,.063084565,.072581828
13101,1362630.579952492,.016194746,.030960772,.033464953,.039226923,.069944344,.11351237,.088078059,.15686059,.21662337,.23513389,.1885135
13102,825127.4619981041,.1099939,.12125059,.085093774,.15852462,.17408085,.10257973,.091593876,.048920035,.072313629,.035648994,.093438961
13103,818703.4267397885,.13758983,.15666692,.12725885,.052736618,.14320813,.13478068,.12291515,.07472349,.035126999,.014993333,.11458831
13104,1115129.890089144,.07065618,.068801805,.13120267,.18194106,.12794074,.07793963,.13971491,.097645164,.09184745,.012310374,.15375678
13105,913583.8191367817,.091172613,.14482507,.14562809,.12415536,.086263068,.1441265,.058300853,.10682832,.066997014,.031703129,.14403252
13106,927485.2486404247,.079639323,.098830171,.16762531,.080190718,.10690654,.09441898,.1620032,.09022402,.075530857,.044630889,.11021269
13107,884318.0227952896,.15104955,.056347895,.13074732,.1115934,.12887557,.091773458,.12834734,.12063066,.067256898,.013377888,.14794359
13108,935243.6363879892,.038039111,.094562016,.026836812,.10040669,.14258578,.094732486,.19435988,.12417505,.13398923,.050312933,.1903165
13109,1192182.0046953,.050528016,.15342921,.087876245,.11168224,.068007708,.095306344,.11604804,.10842024,.11453237,.094169594,.096327782
13110,1233555.517684347,.057094436,.089430787,.10011643,.069811128,.098693401,.12863131,.10633894,.10446572,.16181371,.083604142,.096994869
13111,770600.2630763859,.081452705,.11021493,.14791109,.12436777,.10831714,.14427665,.1460312,.10188973,.032575712,.0029630559,.11120633
13112,672940.8797920034,.16551791,.13435908,.13274269,.15259182,.13074507,.11737168,.083218969,.068076693,.01271768,.0026584119,.17328505
13113,2885611.380136137,.013618255,.019965069,.017761949,.074883282,.034119837,.082565665,.064837962,.092873529,.21091743,.38845703,.033891533
13114,3827198.721247877,.015410314,.012376375,.021872254,.016745944,.019894963,.052947454,.037561551,.062781595,.17029461,.59011495,.021621188
13115,2405453.087602325,.047034223,.089556441,.082044475,.08491575,.078513689,.076060645,.12950496,.082623556,.10195038,.22779587,.12380263
13116,850883.9679765261,.082319774,.17346528,.12316898,.12812841,.12418158,.17042747,.073827744,.055416834,.051596571,.01746735,.21559066
13117,789868.5060096753,.036367722,.12797393,.084749788,.13696595,.15445043,.13078393,.13696595,.13147081,.040226799,.02004471,.15100348
13118,1119236.992421363,.056982324,.071224935,.077615701,.11084054,.11714815,.13287561,.12251734,.10132567,.15487504,.054594696,.085800149
